Iteration,H1 Weekly Bill [€],H2 Weekly Bill [€],H3 Weekly Bill [€],H4 Weekly Bill [€]
40,14.429857777537496,30.087112272456743,3.0604893303679863,10.8632606196378
41,14.429857788085016,30.08711029159933,3.060489330367963,10.863562589947716
42,14.42985777648424,30.087104239588804,3.060489330367944,10.863568653559033
43,14.429856578308977,30.08709769062604,3.060489330367928,10.863576400697074
44,14.42985658348485,30.08709429961394,3.060489330367916,10.863579786533313
45,14.429855690059592,30.08709438141763,3.0604893303679073,10.863580598154892
46,14.429855688381643,30.087091123343214,3.060489330367911,10.863583857907248
47,14.443924056072078,30.10895543057106,3.03320035636509,10.811300156991791
48,14.443924057913954,30.108948828571545,3.033200356365215,10.811306757149305
49,14.451977045863444,30.11768913346973,2.9774643016338747,10.811309519032966
no p2p,18.28019999999997,35.317800000000055,4.949324999999993,12.628195000000034
